"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000162772",74.0194278436952,5.01861655336453,0.798137189558321,6.28791217728091,3.21763838378932e-10,3.33025572722194e-06
"ENSG00000087074",93.8991701150049,3.70436189075972,0.658132714594632,5.62859406410359,1.81684414388124e-08,9.40216844458542e-05
"ENSG00000101255",48.576916705594,4.97413658238257,0.906796249381885,5.48539606970493,4.12544045470493e-08,0.00013257251368748
"ENSG00000204388",88.6559699580382,4.62035130559562,0.852144329854269,5.42202904334971,5.89263050866792e-08,0.00013257251368748
"ENSG00000128564",58.2757813738578,4.69371586757191,0.868061393364977,5.40712431568585,6.40446926026471e-08,0.00013257251368748
"ENSG00000168003",199.762677143872,2.81575993078822,0.554620670877818,5.07691126320917,3.83619920608938e-07,0.000661744363050418
"ENSG00000273768",2399.08916484893,-3.63130114310138,0.72555576488148,-5.00485464917305,5.59041979368397e-07,0.00082658349806613
"ENSG00000149428",418.726807812238,2.10724182751609,0.437822432696862,4.81300561630905,1.48677109287815e-06,0.00177345399429487
"ENSG00000161011",168.772895301633,2.68253393557798,0.559283872730158,4.79637276591425,1.61564498349691e-06,0.00177345399429487
"ENSG00000175197",70.7132916824197,3.07291008761333,0.64225330608874,4.78457651907945,1.71348212009166e-06,0.00177345399429487
"ENSG00000131018",140.652493349378,2.40105813274108,0.510145975732036,4.70660996452176,2.5187014767971e-06,0.00236986911680454
"ENSG00000110619",107.37257555845,2.78583960067985,0.598191031722406,4.65710693230961,3.20683901439774e-06,0.00276589864991805
"ENSG00000207513",2705.74156171488,-3.61495059449839,0.780567080361607,-4.6311850518007,3.63578731458382e-06,0.00289464605430327
"ENSG00000149212",243.581219242832,-2.3168300507378,0.504578833582856,-4.59161165022861,4.39836236133654e-06,0.00325164645998809
"ENSG00000177606",204.223075604802,2.2199022746331,0.487749978507741,4.55131188611188,5.33124509512376e-06,0.0036785591156354
"ENSG00000134684",118.964823602209,2.61998437078142,0.58104445945326,4.50909449037122,6.51049089598222e-06,0.00399927941138221
"ENSG00000206652",2374.85361291128,-3.34366006574778,0.741848578741222,-4.50720020441549,6.56886473367126e-06,0.00399927941138221
"ENSG00000140105",101.290874189864,2.47361958659269,0.553927902375844,4.46559845781938,7.98452416617831e-06,0.00459110139555253
"ENSG00000006327",60.348859242533,3.6837075456866,0.838113851216547,4.39523525394502,1.10652850504227e-05,0.00554965592145931
"ENSG00000119922",37.0582760518488,3.96995158726988,0.90368813841722,4.39305488088304,1.1176889775306e-05,0.00554965592145931
"ENSG00000044574",634.584234578648,2.34586834285827,0.534190977258661,4.39144134349985,1.1260171434845e-05,0.00554965592145931
"ENSG00000116717",75.0139803795123,3.09617530072025,0.715502722467594,4.32727256444573,1.50967099661959e-05,0.00710231582500579
"ENSG00000278677",66.170543430283,-3.00788434700571,0.708248075325925,-4.24693613974386,2.16713696177605e-05,0.00975211632799221
"ENSG00000103257",66.8976767772284,3.35307344241324,0.807841999585823,4.15065500943543,3.31525153206304e-05,0.0142970222320219
"ENSG00000224578",25.1872258711876,-4.3666907599428,1.05668791885075,-4.13243180133258,3.58945287371897e-05,0.0148603348971965
"ENSG00000087086",214.932343586407,2.00681337137005,0.493835811923217,4.06372588402331,4.82955397783643e-05,0.0192253398733104
"ENSG00000107554",65.4087077397891,2.58290023575709,0.64881647504296,3.98094119848925,6.8642929824778e-05,0.0263131230994982
"ENSG00000283958",100.82870225722,-2.27689950582626,0.580717264504103,-3.9208400455781,8.82408225549056e-05,0.0315884051185136
"ENSG00000051108",53.3140373168922,2.57846817099295,0.657754041677043,3.9201099614968,8.85085747282023e-05,0.0315884051185136
"ENSG00000112715",57.6344957225324,2.78048024784898,0.710867465129776,3.91139049716022,9.17662609932497e-05,0.0316593600426711
"ENSG00000235655",18.3238549115586,-5.82558896716025,1.49310923750255,-3.90164953831807,9.55394122872567e-05,0.0318978360378422
"ENSG00000128606",38.2592280450606,-2.98704489298425,0.770171751811428,-3.87841398487906,0.000105139688201811,0.0340061179027734
"ENSG00000168386",29.9416312736782,3.2100381244583,0.830735787357149,3.86409033210248,0.000111503955188343,0.0349716950363438
"ENSG00000172216",22.8030201067984,3.80385909249351,1.00453110338266,3.78670115806706,0.000152660516781757,0.0464716573144465
"ENSG00000172432",33.7606848626575,2.68023372545417,0.71123144994262,3.76844095641497,0.000164270329342386,0.0477414623570299
"ENSG00000041515",32.095059216322,2.86010927272586,0.759508121100813,3.76573889503708,0.000166057260372278,0.0477414623570299
"ENSG00000156510",14.3067557179257,6.29733878357722,1.69450401147723,3.71633158784166,0.000202136267720518,0.0565435235380367
"ENSG00000284879",10.2188488803351,6.76811865563861,1.84178467607773,3.67476108556404,0.000238072085784395,0.0643011039330699
"ENSG00000116584",175.754331318691,2.12461497032919,0.57896044593245,3.66970660129877,0.000242829015007952,0.0643011039330699
"ENSG00000200494",148.430500667614,-2.19528881045375,0.599184565263458,-3.66379399223758,0.000248506681866937,0.0643011039330699
"ENSG00000175866",29.0809639372886,3.3702476797903,0.922623140573297,3.65289740911561,0.00025929784771578,0.0654568957038615
"ENSG00000145675",90.0731907317948,-2.27180603018634,0.626555690522975,-3.62586449145503,0.000287996357052962,0.0709705308451942
"ENSG00000275832",17.6835870554242,4.15691594981648,1.16400009066312,3.57123335570215,0.000355304152131998,0.0847920137269289
"ENSG00000163618",16.7590716979626,4.18190524568257,1.17223846650993,3.56745266868201,0.000360468464153128,0.0847920137269289
"ENSG00000090861",129.03939011076,1.77900350548979,0.50081469490553,3.55221906143423,0.000381996693864345,0.0878592395887994
"ENSG00000130513",15.4298442817239,4.95039578994154,1.3991002358722,3.53827099947236,0.000402756466585692,0.0887449666864449
"ENSG00000151012",110.270192498614,2.03896737265038,0.576286558043029,3.5381137113008,0.000402996467078542,0.0887449666864449
"ENSG00000144485",45.8875218002036,-2.24749858388085,0.641248850057647,-3.50487737120901,0.00045681764489984,0.0985013046815279
"ENSG00000171951",234.773943618199,2.27612237532935,0.65112830964505,3.49565875360286,0.000472893052178381,0.0998865936744131
"ENSG00000130766",44.4587323955924,2.43291031535498,0.703122894646318,3.46014947583064,0.000539875610570978,0.111754251388192
"ENSG00000183889",23.0045338566047,3.37877219142234,0.991419693346691,3.40801399659186,0.000654375380712281,0.132799709615139
"ENSG00000130522",89.8758706538284,2.10944597937952,0.620648221761479,3.3987787371607,0.000676874514856708,0.133247790105326
"ENSG00000172965",36.955073384571,2.6208194216292,0.771604984246592,3.39658176805093,0.000682331678800222,0.133247790105326
"ENSG00000212802",10.1557677210303,6.39602330492299,1.89176766300575,3.3809771834035,0.00072228540272037,0.138438035521404
