B_DENV_infected,A_DENV_infected,B_ZIKV_infected,A_ZIKV_infected,B_uninfected,A_uninfected
ENSG00000006327,1.3238181185402071,1.9518493411532498,0.3238181185402076,0.6717414219605136,-2.13561350009709,-2.13561350009709
ENSG00000006652,0.7809265480720682,0.2954997209018271,1.2214991394580497,0.4330032446517622,-0.7045002790981734,-2.0264283739855355
ENSG00000007062,1.2492416223783374,0.37477250446219657,-1.21018999625896,-0.8882619013715978,0.87727284499138,-0.4028350742013558
ENSG00000011243,0.8079994844258254,0.39296198514698144,1.1299275793131875,0.22303698370466885,-0.7769630162953312,-1.7769630162953312
ENSG00000013441,0.7041622971998711,-0.36622703069152696,1.7041622971998711,0.012284592562202601,-0.36622703069152696,-1.6881551255788896
ENSG00000031698,0.9513637975199414,0.14400887546233765,1.5132426851280565,-0.04863620248005862,-0.4409536252588193,-2.119025530371457
ENSG00000034152,0.6821849007319136,0.2671474014530699,0.6821849007319136,1.0041129956192758,-1.3178150992680864,-1.3178150992680864
ENSG00000041515,0.9025062498798073,0.9025062498798073,0.4874687506009636,-0.09749375012019268,-1.0974937501201927,-1.0974937501201927
ENSG00000044574,1.8608258927877195,1.3850924618213218,-0.36698002473509295,0.028948651596046204,-0.6149075381786782,-2.292979443291316
ENSG00000050820,0.16225463143980123,0.7472171321609578,1.036723749355943,0.8992202256060078,-1.4227078692813548,-1.4227078692813548
ENSG00000051108,1.4124078518956789,0.7685516621209545,0.22798328075825225,0.4689913802620467,-0.6464858371578894,-2.2314483378790455
ENSG00000056487,0.8684278309899431,0.6053934251561492,1.0908202523263912,-0.13157216901005664,-0.7165346697312129,-1.716534669731213
ENSG00000059804,0.7511599981199804,-0.2488400018800192,0.8291625101212534,0.7511599981199804,-0.2488400018800192,-1.8338025026011755
ENSG00000060138,0.4808542411157579,0.9783539005865749,1.0938311180065106,0.8528230185027152,-0.7992536780769779,-2.606608600134582
ENSG00000065000,0.8330342937257442,0.3855753167545233,0.8330342937257442,0.09606869955953812,-0.07385630188277448,-2.0738563018827745
ENSG00000071553,0.05714232229031779,0.5425691494605598,0.7352142274029556,1.1946458460402534,-1.2647857725970444,-1.2647857725970444
ENSG00000072110,0.594816927708615,0.594816927708615,0.594816927708615,1.0309160425152881,-0.9076834128205689,-1.9076834128205686
ENSG00000074590,-0.10623832010254874,-0.10623832010254874,1.4787241806186076,1.1161541012338991,-0.691200820823705,-1.691200820823705
ENSG00000078177,1.2513578172783877,-0.7486421827216123,-0.16367968200045602,-0.7486421827216123,0.5732859121657499,-0.16367968200045602
ENSG00000078808,0.7638187625867281,0.11174206600703451,0.8893496446705869,0.30438714394943034,-0.3736847611632075,-1.6956128560505697
ENSG00000081479,0.5566416671474377,-0.028320833573718618,-0.028320833573718618,-1.0283208335737186,0.5566416671474377,-0.028320833573718618
ENSG00000087074,1.2429395634986267,0.9210114686112645,1.6579770627774706,0.5059739693324206,-1.663951032109892,-2.663951032109892
ENSG00000087086,1.1416486484883732,0.9914060129077615,0.9006405489845788,0.3062793502611729,-0.9738285689315624,-2.366145991710323
ENSG00000088826,0.5800595762486407,0.5800595762486407,1.0654864034188827,0.2581314813612785,-0.7418685186387215,-1.7418685186387215
ENSG00000090520,1.1524824094539183,0.07447989745264572,1.1524824094539183,0.48951739673148964,-0.7735170091023047,-2.095445103989667
ENSG00000090861,1.2449556695940212,0.437600747536417,0.8526382468152605,0.17456634170262308,-0.5623992524635835,-2.1473617531847395
ENSG00000094916,0.8705843402745268,-1.129415659725474,-0.12941565972547364,-0.39245006555926754,1.49507520518232,-0.7143781604466302
ENSG00000099194,0.5434055614668427,-0.7520503220593291,1.417874679382983,1.1104461541907353,-0.567625750921902,-1.7520503220593286
ENSG00000099860,0.544224094420166,0.544224094420166,1.922735717673896,0.544224094420166,-1.7777040004671962,-1.7777040004671962
ENSG00000099917,-0.2715594366799352,1.1878721819573625,0.7284405633200648,0.8983655647623774,-1.2715594366799352,-1.2715594366799352
ENSG00000100596,-0.09749375012019268,-0.09749375012019268,-0.09749375012019268,-0.09749375012019268,-0.09749375012019268,0.4874687506009636
ENSG00000101210,0.3100744251748795,0.43560530725873825,1.310074425174879,0.6579977285951855,-0.5643946927412622,-2.1493571934624183
ENSG00000101255,1.4848667927159536,1.8633784159696831,0.16293869782859094,0.16293869782859094,-1.837061302171409,-1.837061302171409
ENSG00000101294,0.9279226617811207,0.31125130133262635,1.2623417008516804,0.10480042386519983,-0.5956392942758924,-2.010676793554736
ENSG00000101384,0.7267497682001447,-0.03878497816283266,0.8092119283921169,0.6392869269498047,-0.3607130730501953,-1.775750572329039
ENSG00000103257,0.6862978963511897,0.9493323021849835,0.6862978963511897,0.9493323021849835,-1.6356301985361725,-1.6356301985361725
ENSG00000103512,1.2871781147642625,-0.21532222576492144,1.1997152735139225,0.007070195571526661,-0.47835663159871533,-1.8002847264860775
ENSG00000104267,-0.06917291654647406,-0.06917291654647406,1.5157895841746822,-0.06917291654647406,-0.6541354172676304,-0.6541354172676304
ENSG00000104290,1.0095752858132765,0.4950021129835176,0.38808690906700605,-1.3123528090740861,0.14707880956321162,-0.7273903083529301
ENSG00000104980,0.5563703170380023,0.7262953184803149,1.7262953184803145,-0.12170158807463549,-1.4436296829619977,-1.4436296829619977
ENSG00000106665,0.9336810879546675,0.040596291871179524,0.9336810879546675,1.040596291871179,-1.1817961294652684,-1.7667586301864247
ENSG00000107554,0.6609640474436811,0.6609640474436811,0.6609640474436811,0.3390359525563189,-0.6609640474436811,-1.660964047443681
ENSG00000108175,0.336320317999544,-0.24864218272161231,0.336320317999544,1.0732859121657499,-0.24864218272161231,-1.2486421827216123
ENSG00000108984,1.3333333333333335,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,0.33333333333333337,0.33333333333333337
ENSG00000109111,0.8120575139519413,-0.35786748749037134,1.2270950132307852,0.44948743456723284,-0.772904986769215,-1.3578674874903713
ENSG00000110619,0.7367806770699974,0.8242435183203374,1.3217431777911544,0.3217431777911539,-0.9412912280426404,-2.2632193229300026
ENSG00000111252,0.06917291654647395,0.6541354172676302,0.06917291654647395,1.0691729165464738,-0.930827083453526,-0.930827083453526
ENSG00000112118,1.1074095312515435,-0.6999453908060607,-0.6999453908060607,-0.6999453908060607,1.1074095312515435,-0.11498289008490437
ENSG00000112182,0.44634531751877304,0.44634531751877304,0.7682734124061352,0.44634531751877304,-0.553654682481227,-1.553654682481227
ENSG00000112245,0.12105880762803434,0.9124721858166165,1.3748153998738175,0.4650132088453951,-0.8789411923719661,-1.9944184097919022
ENSG00000112715,1.150806778401288,0.4987300818215945,1.2763376604851469,0.6913751597639903,-1.3086248402360097,-2.3086248402360097
ENSG00000113013,0.8335786392522069,0.21690727880371252,1.064904185358663,0.06490418535866294,-0.2976658940260455,-1.882628394747202
ENSG00000115677,0.9616972183006505,-0.3158367572282579,1.2096247317442366,-0.11230336314312606,0.032086546192049425,-1.7752683758655547
ENSG00000116584,1.6184001017282452,0.8110451796706415,0.8699388687242089,-0.07347760290942329,-0.45198922616315285,-2.7739173210505155
ENSG00000116717,0.7075035652968222,1.526931319655001,1.3204804421875749,0.6200407240464823,-1.7949967752323615,-2.3799592759535177
ENSG00000116786,0.36544084632373264,0.36544084632373264,1.1727957683813368,0.36544084632373264,-0.6345591536762674,-1.6345591536762674
ENSG00000117461,-0.02832083357371884,-0.44335833285256254,0.5566416671474372,-1.0283208335737188,0.9716791664262812,-0.02832083357371884
ENSG00000119820,0.5858623617607157,0.5858623617607157,0.10043553459047372,-1.2214925602968885,0.5858623617607157,-0.6365300595757322
ENSG00000119922,0.975792162045557,1.8237890686005074,0.23882656787935108,-0.3461359328418052,-1.3461359328418052,-1.3461359328418052
ENSG00000124575,1.7173721611838584,-0.9510063477249355,-0.7583612697825393,-2.173398769061383,1.9695591847806595,0.19583504060433654
ENSG00000124635,1.6836227076789845,-1.305061979093182,-0.5501744769297128,-2.305061979093182,1.9237567114026985,0.55291901603439
ENSG00000128564,1.4075681752950722,1.4075681752950722,0.5330990573789305,0.7554914787153786,-2.0518634433422256,-2.0518634433422256
ENSG00000128590,0.6326432138699625,0.6326432138699625,1.2176057145911185,0.31071511898259985,-1.1043223802962439,-1.6892848810174002
ENSG00000128606,0.05459577633808421,-0.9454042236619158,0.05459577633808421,-0.9454042236619158,2.1420586175884244,-0.3604417229407595
ENSG00000128683,1.2033904160226099,0.3289212981064682,1.0658868922726747,0.3289212981064682,-0.6710787018935316,-2.256041202614688
ENSG00000129128,1.242613247296032,-0.5349943313675207,-0.3423492534251249,-1.0204211585377627,0.8275757480171873,-0.1724242519828123
ENSG00000129317,1.1707796622859425,-0.15114843260141964,-0.15114843260141964,-1.1511484326014196,0.43381406811973666,-0.15114843260141964
ENSG00000130254,0.44507539934036755,-0.04035142782987444,1.0971520959200611,0.22268297800391945,-0.3622795227172366,-1.3622795227172366
ENSG00000130294,0.5604283465641182,0.1453908472852743,0.9754658458429617,0.5604283465641182,-0.21717923209943413,-2.0245341541570383
ENSG00000130513,1.311141601474285,1.5037866794166808,0.08874918013783706,0.08874918013783706,-1.4962133205833192,-1.4962133205833192
ENSG00000130702,0.027695477763534093,0.027695477763534093,0.9021645956796758,0.2500878990999822,-0.2353389280702598,-0.9723045222364657
ENSG00000131018,1.3535054457509128,1.3535054457509128,0.5879706993879354,-0.412029300612065,-1.1489948947782709,-1.7339573954994272
ENSG00000131069,0.00010016628908937619,-0.4853266608811526,0.7777077449526417,1.000100166289089,-0.4853266608811526,-0.8072547557685148
ENSG00000131473,0.06309368948360605,-0.6373460286574861,1.4501168125928539,0.7549713941212746,-0.3154179337701235,-1.315417933770124
ENSG00000132613,0.27836727696321617,0.9788069951043084,0.7377988956005139,0.44829227840552877,-0.7216327230367838,-1.7216327230367838
ENSG00000133794,1.0762728968319601,0.33930730266575404,1.0762728968319601,0.16938230122344144,-0.8306176987765586,-1.8306176987765586
ENSG00000134107,0.7146187299249083,0.3926906350375461,0.7146187299249083,0.3926906350375461,-0.6073093649624539,-1.607309364962454
ENSG00000134531,-0.02248536439630744,0.7501041395006194,1.007261978997744,1.4800149761328756,-1.6074478651174644,-1.6074478651174644
ENSG00000134684,1.1345675726175855,0.5215906957268328,1.7195300733387415,0.4341278544764928,-1.243944050636145,-2.565872145523507
ENSG00000134986,0.4066192454990829,-0.9153088493882793,-0.330346348667123,-0.9153088493882793,1.6696536513328772,0.08469115061172072
ENSG00000136160,0.8383324567163069,-1.7466300440048497,0.060724878052754505,-0.7466300440048497,1.3408327972454903,0.25336995599515033
ENSG00000138166,-0.37146978174931333,0.21349271897184297,0.9504583131380488,0.9504583131380488,-0.37146978174931333,-1.3714697817493133
ENSG00000140105,1.4724409361545336,0.7619475533495188,1.7287806894143194,0.10987085676982522,-1.3755559704004163,-2.6974840652877785
ENSG00000141582,0.5876781352779312,-0.41232186472206855,1.9096062301652938,0.32464372944413733,-0.41232186472206855,-1.9972843654432249
ENSG00000141682,0.6346593199653565,0.8273043979077523,1.149232492795115,0.14923249279511452,-0.5877331013710914,-2.1726956020922477
ENSG00000142166,0.5449650785920312,0.8079994844258251,-0.19200051557417463,-0.7769630162953309,-0.19200051557417463,-0.19200051557417463
ENSG00000142627,0.5634702973234886,0.8265047031572825,0.5634702973234886,0.5634702973234886,-0.7584577975638735,-1.7584577975638735
ENSG00000143333,-0.15114843260141986,1.1707796622859423,0.43381406811973644,0.8488515673985801,-1.1511484326014199,-1.1511484326014199
ENSG00000144485,-0.6797683057827282,-0.6797683057827282,0.5832661000510662,0.32023169421727227,0.4577352179672074,-0.0016964006700903589
ENSG00000144674,0.7172793983885235,-0.06032818027502884,1.0392074932758857,0.4542449925547296,-0.28272060161147694,-1.867683102332633
ENSG00000145604,1.0283208335737186,-0.5566416671474375,-0.5566416671474375,-1.5566416671474375,1.6132833342948751,0.02832083357371884
ENSG00000145675,0.004999123382972925,-0.5799633773381832,-0.5799633773381832,0.22739154471942102,1.5074994639121568,-0.5799633773381832
ENSG00000148841,0.2358395832131407,0.2358395832131407,0.2358395832131407,0.820802083934297,-0.7641604167868593,-0.7641604167868593
ENSG00000149212,-0.6264399395040963,-1.04147743878294,0.8329916791332015,0.1809149825535079,0.6954881553832664,-0.04147743878294019
ENSG00000149428,0.9085417644665492,0.7898972679679304,1.2753240951381724,0.7050083703814174,-1.339385748977036,-2.339385748977036
ENSG00000151012,1.2049032813717362,1.2049032813717362,-0.602451640685868,-0.602451640685868,-0.602451640685868,-0.602451640685868
ENSG00000151014,0.16965365133287724,1.169653651332877,0.9066192454990831,0.584691150611721,-1.415308849388279,-1.415308849388279
ENSG00000154265,0.3208020839342969,-1.2641604167868594,-0.2641604167868594,-0.2641604167868594,1.7358395832131406,-0.2641604167868594
ENSG00000155090,0.2554158468045036,0.2554158468045036,1.4778082681409515,0.6704533460833473,-1.3295466539166527,-1.3295466539166527
ENSG00000156510,0.9874687506009636,1.4025062498798073,-0.5974937501201927,-0.5974937501201927,-0.5974937501201927,-0.5974937501201927
ENSG00000156639,0.4159082890450039,-0.04352332959229388,1.043939511658046,0.27840476529506875,-0.2361684075346897,-1.4585608288711376
ENSG00000157542,0.5,-0.5,-0.5,-0.5,0.5,0.5
ENSG00000158373,1.8485338862176697,-0.9702257991121845,-1.818222705667134,-1.970225799112184,2.217401204063588,0.6927392136102455
ENSG00000158406,1.2828399744586028,-1.1321975248202407,-1.3952319306540346,-1.3952319306540346,1.897549818573812,0.7422715930959001
ENSG00000159840,0.9830229632815075,0.8574920811976479,0.48552330381069053,0.48552330381069053,-0.7945846153820453,-2.016977036718493
ENSG00000160584,0.6579220966843107,0.0729595959631546,0.8803145180207588,0.6579220966843107,-0.3420779033156891,-1.9270404040368454
ENSG00000161011,0.8350602637577893,1.192612268375873,1.3586222198148024,0.35862221981480236,-1.5799772355210546,-2.1649397362422107
ENSG00000162231,0.41433797081746304,-0.07108885635277895,1.5138736443683776,-0.07108885635277895,-0.39301695124014113,-1.3930169512401411
ENSG00000162772,1.5841918559103858,1.1247602372730894,1.6272605778022724,-0.0007706448107698272,-1.8752397627269113,-2.4602022634480676
